GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Residential Neighborhood,RN,,5.12,,"255, 255, 133",17,5541
Residential Neighborhood,RN,,4.03,,"255, 255, 133",17,5547
Residential Neighborhood,RN,,3.93,,"255, 255, 133",17,5548
Residential Neighborhood,RN,,29.37,,"255, 255, 133",17,9386
Residential Neighborhood,RN,,17.75,,"255, 255, 133",17,5560
Residential Neighborhood,RN,,5.81,,"255, 255, 133",17,5412
Residential Neighborhood,RN,,5.68,,"255, 255, 133",17,5414
Residential Neighborhood,RN,,5.57,,"255, 255, 133",17,5420
Residential Neighborhood,RN,,1.1,,"255, 255, 133",17,5472
Neighborhood/Community Commercial,NCC,,14.53,Urban Village,"255, 125, 189",7,5475
Residential Neighborhood,RN,,7.55,,"255, 255, 133",17,5590
Residential Neighborhood,RN,,7.09,,"255, 255, 133",17,5591
Residential Neighborhood,RN,,6.99,,"255, 255, 133",17,5592
Residential Neighborhood,RN,,6.23,,"255, 255, 133",17,5593
Residential Neighborhood,RN,,6.21,,"255, 255, 133",17,5594
Residential Neighborhood,RN,,5.1,,"255, 255, 133",17,5542
Residential Neighborhood,RN,,4.74,,"255, 255, 133",17,5543
Residential Neighborhood,RN,,5.64,,"255, 255, 133",17,5416
Residential Neighborhood,RN,,5.63,,"255, 255, 133",17,5417
Residential Neighborhood,RN,,5.5,,"255, 255, 133",17,5421
Residential Neighborhood,RN,,5.25,,"255, 255, 133",17,5424
Residential Neighborhood,RN,,5.2,,"255, 255, 133",17,5426
Residential Neighborhood,RN,,5.15,,"255, 255, 133",17,5427
Residential Neighborhood,RN,,5.09,,"255, 255, 133",17,5428
Neighborhood/Community Commercial,NCC,,14.43,Urban Village,"255, 125, 189",7,5476
Neighborhood/Community Commercial,NCC,,8.08,Urban Village,"255, 125, 189",7,5477
Residential Neighborhood,RN,,5.37,,"255, 255, 133",17,9396
Residential Neighborhood,RN,,5.22,,"255, 255, 133",17,9397
Residential Neighborhood,RN,,5.32,,"255, 255, 133",17,5595
Residential Neighborhood,RN,,5.26,,"255, 255, 133",17,5596
Residential Neighborhood,RN,,5.25,,"255, 255, 133",17,5597
Residential Neighborhood,RN,,14.62,,"255, 255, 133",17,5215
Residential Neighborhood,RN,,12.84,,"255, 255, 133",17,5216
Residential Neighborhood,RN,,11.24,,"255, 255, 133",17,5217
Residential Neighborhood,RN,,11.16,,"255, 255, 133",17,5218
Residential Neighborhood,RN,,10.96,,"255, 255, 133",17,5219
Residential Neighborhood,RN,,10.77,,"255, 255, 133",17,5220
Residential Neighborhood,RN,,10.12,,"255, 255, 133",17,5221
Residential Neighborhood,RN,,9.63,,"255, 255, 133",17,5222
Residential Neighborhood,RN,,8.7,,"255, 255, 133",17,5223
Residential Neighborhood,RN,,7.91,,"255, 255, 133",17,5224
Residential Neighborhood,RN,,7.6,,"255, 255, 133",17,5225
Residential Neighborhood,RN,,7.53,,"255, 255, 133",17,5226
Residential Neighborhood,RN,,7.44,,"255, 255, 133",17,5227
Residential Neighborhood,RN,,7.12,,"255, 255, 133",17,5228
Residential Neighborhood,RN,,6.87,,"255, 255, 133",17,5230
Residential Neighborhood,RN,,6.6,,"255, 255, 133",17,5233
Residential Neighborhood,RN,,6.44,,"255, 255, 133",17,5234
Residential Neighborhood,RN,,6.17,,"255, 255, 133",17,5236
Residential Neighborhood,RN,,10.92,,"255, 255, 133",17,9387
Residential Neighborhood,RN,,5.45,,"255, 255, 133",17,5422
Residential Neighborhood,RN,,5.06,,"255, 255, 133",17,8170
Residential Neighborhood,RN,,2.96,,"255, 255, 133",17,5728
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,5729
Residential Neighborhood,RN,,3.9,,"255, 255, 133",17,5994
Residential Neighborhood,RN,,2.68,,"255, 255, 133",17,6041
Residential Neighborhood,RN,,2.47,,"255, 255, 133",17,6044
Residential Neighborhood,RN,,2.37,,"255, 255, 133",17,5731
Residential Neighborhood,RN,,2.25,,"255, 255, 133",17,5732
Residential Neighborhood,RN,,1.98,,"255, 255, 133",17,5733
Neighborhood/Community Commercial,NCC,,3.08,Urban Village,"255, 125, 189",7,5837
Neighborhood/Community Commercial,NCC,,3.07,Urban Village,"255, 125, 189",7,5838
Neighborhood/Community Commercial,NCC,,2.45,Urban Village,"255, 125, 189",7,5839
Residential Neighborhood,RN,,2.76,,"255, 255, 133",17,5730
Residential Neighborhood,RN,,4.7,,"255, 255, 133",17,5911
Residential Neighborhood,RN,,2.2,,"255, 255, 133",17,6045
Residential Neighborhood,RN,,2.08,,"255, 255, 133",17,6046
Residential Neighborhood,RN,,1.71,,"255, 255, 133",17,5734
Residential Neighborhood,RN,,1.71,,"255, 255, 133",17,5735
Residential Neighborhood,RN,,0.4,,"255, 255, 133",17,5736
Residential Neighborhood,RN,,0.28,,"255, 255, 133",17,5737
Neighborhood/Community Commercial,NCC,,0.28,Urban Village,"255, 125, 189",7,11537
Neighborhood/Community Commercial,NCC,,2.27,Urban Village,"255, 125, 189",7,5840
Neighborhood/Community Commercial,NCC,,1.86,Urban Village,"255, 125, 189",7,5841
Neighborhood/Community Commercial,NCC,,1.71,Urban Village,"255, 125, 189",7,5842
Neighborhood/Community Commercial,NCC,,1.43,Urban Village,"255, 125, 189",7,5843
Neighborhood/Community Commercial,NCC,,0.63,Urban Village,"255, 125, 189",7,5844
Neighborhood/Community Commercial,NCC,,0.54,Urban Village,"255, 125, 189",7,5845
Residential Neighborhood,RN,,4.1,,"255, 255, 133",17,5914
Residential Neighborhood,RN,,3.85,,"255, 255, 133",17,5915
Residential Neighborhood,RN,,8.25,,"255, 255, 133",17,6055
Public/Quasi-Public,PQP,,42.95,,"209, 255, 240",12,5738
Public/Quasi-Public,PQP,,33.08,,"209, 255, 240",12,5739
Residential Neighborhood,RN,,4.57,,"255, 255, 133",17,5746
Residential Neighborhood,RN,,11.44,,"255, 255, 133",17,5751
Residential Neighborhood,RN,,8.91,,"255, 255, 133",17,5752
Residential Neighborhood,RN,,5.23,,"255, 255, 133",17,5754
Residential Neighborhood,RN,,3.92,,"255, 255, 133",17,5755
Mixed Use Neighborhood,MUN,,1.38,Urban Village,"207, 161, 22",16,9373
Neighborhood/Community Commercial,NCC,,0.48,Urban Village,"255, 125, 189",7,5846
Public/Quasi-Public,PQP,,3.85,,"209, 255, 240",12,9366
Residential Neighborhood,RN,,6.36,,"255, 255, 133",17,5854
Residential Neighborhood,RN,,0.84,,"255, 255, 133",17,5856
Residential Neighborhood,RN,,0.29,,"255, 255, 133",17,5859
Residential Neighborhood,RN,,3.5,,"255, 255, 133",17,5916
Residential Neighborhood,RN,,3.17,,"255, 255, 133",17,5917
Residential Neighborhood,RN,,6.51,,"255, 255, 133",17,6058
Residential Neighborhood,RN,,1.77,,"255, 255, 133",17,5757
Residential Neighborhood,RN,,1.7,,"255, 255, 133",17,5758
Residential Neighborhood,RN,,12.1,,"255, 255, 133",17,5760
Residential Neighborhood,RN,,6.74,,"255, 255, 133",17,5761
Residential Neighborhood,RN,,6.11,,"255, 255, 133",17,5762
Residential Neighborhood,RN,,4.55,,"255, 255, 133",17,5763
Residential Neighborhood,RN,,4.32,,"255, 255, 133",17,5764
Residential Neighborhood,RN,,12.47,,"255, 255, 133",17,5767
Residential Neighborhood,RN,,9.87,,"255, 255, 133",17,5768
Residential Neighborhood,RN,,4.39,,"255, 255, 133",17,5769
Residential Neighborhood,RN,,1.1,,"255, 255, 133",17,5771
Residential Neighborhood,RN,,0.77,,"255, 255, 133",17,5772
Residential Neighborhood,RN,,2.05,,"255, 255, 133",17,5855
Residential Neighborhood,RN,,0.73,,"255, 255, 133",17,5857
Residential Neighborhood,RN,,0.49,,"255, 255, 133",17,5858
Residential Neighborhood,RN,,0.18,,"255, 255, 133",17,5860
Residential Neighborhood,RN,,25.33,,"255, 255, 133",17,5862
Residential Neighborhood,RN,,7.84,,"255, 255, 133",17,5866
Residential Neighborhood,RN,,6.67,,"255, 255, 133",17,5868
Residential Neighborhood,RN,,6.57,,"255, 255, 133",17,5869
Residential Neighborhood,RN,,2.6,,"255, 255, 133",17,5918
Residential Neighborhood,RN,,2.59,,"255, 255, 133",17,5920
Residential Neighborhood,RN,,4.61,,"255, 255, 133",17,6061
Residential Neighborhood,RN,,4.58,,"255, 255, 133",17,6062
Residential Neighborhood,RN,,6.91,,"255, 255, 133",17,5775
Residential Neighborhood,RN,,5.28,,"255, 255, 133",17,5776
Residential Neighborhood,RN,,2.54,,"255, 255, 133",17,5782
Residential Neighborhood,RN,,0.5,,"255, 255, 133",17,5785
Residential Neighborhood,RN,,0.49,,"255, 255, 133",17,5786
Residential Neighborhood,RN,,8.47,,"255, 255, 133",17,5863
Residential Neighborhood,RN,,8.38,,"255, 255, 133",17,5864
Neighborhood/Community Commercial,NCC,,8.97,Urban Village,"255, 125, 189",7,9369
Residential Neighborhood,RN,,1.94,,"255, 255, 133",17,5921
Residential Neighborhood,RN,,1.82,,"255, 255, 133",17,5922
Residential Neighborhood,RN,,1.77,,"255, 255, 133",17,5923
Residential Neighborhood,RN,,1.73,,"255, 255, 133",17,5924
Residential Neighborhood,RN,,4.51,,"255, 255, 133",17,6063
Residential Neighborhood,RN,,4.34,,"255, 255, 133",17,6064
"Open Space, Parklands and Habitat",OSPH,,11.09,,"96, 160, 0",22,5787
"Open Space, Parklands and Habitat",OSPH,,9.65,,"96, 160, 0",22,5788
"Open Space, Parklands and Habitat",OSPH,,2.27,,"96, 160, 0",22,5790
"Open Space, Parklands and Habitat",OSPH,,1.66,,"96, 160, 0",22,5791
"Open Space, Parklands and Habitat",OSPH,,1.39,,"96, 160, 0",22,5792
Residential Neighborhood,RN,,7.97,,"255, 255, 133",17,5865
Residential Neighborhood,RN,,6.7,,"255, 255, 133",17,5867
Residential Neighborhood,RN,,1.59,,"255, 255, 133",17,5925
Residential Neighborhood,RN,,0.78,,"255, 255, 133",17,5926
Residential Neighborhood,RN,,0.76,,"255, 255, 133",17,5927
Residential Neighborhood,RN,,2.57,,"255, 255, 133",17,5944
Residential Neighborhood,RN,,4.3,,"255, 255, 133",17,6065
Residential Neighborhood,RN,,4.22,,"255, 255, 133",17,6066
Residential Neighborhood,RN,,4.04,,"255, 255, 133",17,6067
"Open Space, Parklands and Habitat",OSPH,,1.34,,"96, 160, 0",22,5793
"Open Space, Parklands and Habitat",OSPH,,0.97,,"96, 160, 0",22,5795
"Open Space, Parklands and Habitat",OSPH,,0.65,,"96, 160, 0",22,5796
"Open Space, Parklands and Habitat",OSPH,,0.26,,"96, 160, 0",22,5798
Residential Neighborhood,RN,,6.35,,"255, 255, 133",17,5870
Residential Neighborhood,RN,,5.95,,"255, 255, 133",17,5872
Neighborhood/Community Commercial,NCC,,3.12,Urban Village,"255, 125, 189",7,11534
Residential Neighborhood,RN,,2.48,,"255, 255, 133",17,5945
Residential Neighborhood,RN,,2.09,,"255, 255, 133",17,5946
Residential Neighborhood,RN,,1.55,,"255, 255, 133",17,5947
Residential Neighborhood,RN,,3.92,,"255, 255, 133",17,6068
Residential Neighborhood,RN,,3.74,,"255, 255, 133",17,6069
"Open Space, Parklands and Habitat",OSPH,,0.17,,"96, 160, 0",22,5799
Residential Neighborhood,RN,,6.47,,"255, 255, 133",17,5800
Residential Neighborhood,RN,,3.37,,"255, 255, 133",17,5803
Residential Neighborhood,RN,,2.96,,"255, 255, 133",17,5804
Residential Neighborhood,RN,,2.93,,"255, 255, 133",17,5805
Residential Neighborhood,RN,,1.35,,"255, 255, 133",17,5806
Residential Neighborhood,RN,,0.81,,"255, 255, 133",17,5807
Residential Neighborhood,RN,,0.45,,"255, 255, 133",17,5808
Residential Neighborhood,RN,,0.04,,"255, 255, 133",17,5809
Residential Neighborhood,RN,,5.94,,"255, 255, 133",17,5873
Residential Neighborhood,RN,,5.39,,"255, 255, 133",17,5874
Residential Neighborhood,RN,,5.25,,"255, 255, 133",17,5875
Residential Neighborhood,RN,,4.92,,"255, 255, 133",17,5876
Residential Neighborhood,RN,,1.55,,"255, 255, 133",17,5948
Residential Neighborhood,RN,,1.54,,"255, 255, 133",17,5949
Residential Neighborhood,RN,,1.32,,"255, 255, 133",17,5950
Residential Neighborhood,RN,,25.98,,"255, 255, 133",17,5951
Residential Neighborhood,RN,,11.76,,"255, 255, 133",17,5952
Residential Neighborhood,RN,,3.52,,"255, 255, 133",17,6070
Residential Neighborhood,RN,,3.5,,"255, 255, 133",17,6071
Residential Neighborhood,RN,,10.64,,"255, 255, 133",17,5811
Residential Neighborhood,RN,,9.78,,"255, 255, 133",17,5812
Residential Neighborhood,RN,,7.21,,"255, 255, 133",17,5813
Residential Neighborhood,RN,,6.83,,"255, 255, 133",17,5814
Residential Neighborhood,RN,,2.62,,"255, 255, 133",17,5816
Residential Neighborhood,RN,,0.66,,"255, 255, 133",17,5822
Residential Neighborhood,RN,,4.85,,"255, 255, 133",17,5877
Residential Neighborhood,RN,,4.68,,"255, 255, 133",17,5878
Residential Neighborhood,RN,,4.46,,"255, 255, 133",17,5879
Residential Neighborhood,RN,,6.43,,"255, 255, 133",17,5953
Residential Neighborhood,RN,,5.61,,"255, 255, 133",17,5954
Residential Neighborhood,RN,,4.9,,"255, 255, 133",17,5955
Residential Neighborhood,RN,,4.88,,"255, 255, 133",17,5956
Residential Neighborhood,RN,,3.48,,"255, 255, 133",17,6072
Residential Neighborhood,RN,,3.48,,"255, 255, 133",17,6073
Residential Neighborhood,RN,,3.09,,"255, 255, 133",17,5815
Residential Neighborhood,RN,,1.81,,"255, 255, 133",17,5817
Residential Neighborhood,RN,,1.74,,"255, 255, 133",17,5818
Public/Quasi-Public,PQP,,67.27,,"209, 255, 240",12,9365
Residential Neighborhood,RN,,4.3,,"255, 255, 133",17,5880
Residential Neighborhood,RN,,4.11,,"255, 255, 133",17,5881
Residential Neighborhood,RN,,4.64,,"255, 255, 133",17,5957
Residential Neighborhood,RN,,4.6,,"255, 255, 133",17,5958
Residential Neighborhood,RN,,3.47,,"255, 255, 133",17,6074
Residential Neighborhood,RN,,2.97,,"255, 255, 133",17,6075
Residential Neighborhood,RN,,1.67,,"255, 255, 133",17,5819
Residential Neighborhood,RN,,1.47,,"255, 255, 133",17,5820
Residential Neighborhood,RN,,3.91,,"255, 255, 133",17,5882
Residential Neighborhood,RN,,3.5,,"255, 255, 133",17,5883
Residential Neighborhood,RN,,3.43,,"255, 255, 133",17,5884
Residential Neighborhood,RN,,4.53,,"255, 255, 133",17,5959
Residential Neighborhood,RN,,4.41,,"255, 255, 133",17,5960
Residential Neighborhood,RN,,2.79,,"255, 255, 133",17,6076
Residential Neighborhood,RN,,2.73,,"255, 255, 133",17,6077
Residential Neighborhood,RN,,1.38,,"255, 255, 133",17,5821
Residential Neighborhood,RN,,0.65,,"255, 255, 133",17,5823
Residential Neighborhood,RN,,0.63,,"255, 255, 133",17,5824
Residential Neighborhood,RN,,0.6,,"255, 255, 133",17,5825
Residential Neighborhood,RN,,0.33,,"255, 255, 133",17,5826
Residential Neighborhood,RN,,0.3,,"255, 255, 133",17,5827
Residential Neighborhood,RN,,3.41,,"255, 255, 133",17,5885
Residential Neighborhood,RN,,3.19,,"255, 255, 133",17,5886
Residential Neighborhood,RN,,3.02,,"255, 255, 133",17,5887
Residential Neighborhood,RN,,4.33,,"255, 255, 133",17,5961
Residential Neighborhood,RN,,3.98,,"255, 255, 133",17,5962
Residential Neighborhood,RN,,1.96,,"255, 255, 133",17,6079
Residential Neighborhood,RN,,2.46,,"255, 255, 133",17,6130
Residential Neighborhood,RN,,0.29,,"255, 255, 133",17,5828
Residential Neighborhood,RN,,1.26,,"255, 255, 133",17,5829
Residential Neighborhood,RN,,1.23,,"255, 255, 133",17,5830
Residential Neighborhood,RN,,0.82,,"255, 255, 133",17,5831
Residential Neighborhood,RN,,2.86,,"255, 255, 133",17,5888
Residential Neighborhood,RN,,2.42,,"255, 255, 133",17,5889
Residential Neighborhood,RN,,1.85,,"255, 255, 133",17,5890
Residential Neighborhood,RN,,1.64,,"255, 255, 133",17,5891
Residential Neighborhood,RN,,3.86,,"255, 255, 133",17,5963
Residential Neighborhood,RN,,3.85,,"255, 255, 133",17,5964
Residential Neighborhood,RN,,2.48,,"255, 255, 133",17,5965
Residential Neighborhood,RN,,0.96,,"255, 255, 133",17,6135
Residential Neighborhood,RN,,0.9,,"255, 255, 133",17,6136
Neighborhood/Community Commercial,NCC,,1.43,,"255, 125, 189",7,6137
Residential Neighborhood,RN,,4.82,,"255, 255, 133",17,6236
Residential Neighborhood,RN,,3.57,,"255, 255, 133",17,5832
Residential Neighborhood,RN,,1.78,,"255, 255, 133",17,5833
Residential Neighborhood,RN,,1.72,,"255, 255, 133",17,5834
Residential Neighborhood,RN,,1.61,,"255, 255, 133",17,5892
Residential Neighborhood,RN,,29.66,,"255, 255, 133",17,5895
Residential Neighborhood,RN,,14.56,,"255, 255, 133",17,5896
Residential Neighborhood,RN,,9.85,,"255, 255, 133",17,5897
Residential Neighborhood,RN,,9.06,,"255, 255, 133",17,5898
Residential Neighborhood,RN,,7.95,,"255, 255, 133",17,5899
Residential Neighborhood,RN,,7.69,,"255, 255, 133",17,5900
Residential Neighborhood,RN,,7.57,,"255, 255, 133",17,5901
Residential Neighborhood,RN,,7.55,,"255, 255, 133",17,5902
Residential Neighborhood,RN,,7.29,,"255, 255, 133",17,5903
Residential Neighborhood,RN,,6.8,,"255, 255, 133",17,5905
Residential Neighborhood,RN,,6.44,,"255, 255, 133",17,5906
Residential Neighborhood,RN,,5.76,,"255, 255, 133",17,5907
Residential Neighborhood,RN,,5.03,,"255, 255, 133",17,5909
Residential Neighborhood,RN,,4.72,,"255, 255, 133",17,5910
Residential Neighborhood,RN,,4.39,,"255, 255, 133",17,5912
Residential Neighborhood,RN,,4.27,,"255, 255, 133",17,5913
Residential Neighborhood,RN,,1.99,,"255, 255, 133",17,5966
Neighborhood/Community Commercial,NCC,,33.46,,"255, 125, 189",7,5968
Neighborhood/Community Commercial,NCC,,8.44,,"255, 125, 189",7,5969
Residential Neighborhood,RN,,4.51,,"255, 255, 133",17,5936
Residential Neighborhood,RN,,4.1,,"255, 255, 133",17,5937
Neighborhood/Community Commercial,NCC,,17.25,Urban Village,"255, 125, 189",7,5835
Neighborhood/Community Commercial,NCC,,8.83,Urban Village,"255, 125, 189",7,5836
Residential Neighborhood,RN,,7.03,,"255, 255, 133",17,5904
Residential Neighborhood,RN,,5.51,,"255, 255, 133",17,5908
Residential Neighborhood,RN,,2.59,,"255, 255, 133",17,5919
Neighborhood/Community Commercial,NCC,,4.14,,"255, 125, 189",7,5970
Residential Neighborhood,RN,,6.27,,"255, 255, 133",17,5993
Residential Neighborhood,RN,,3.27,,"255, 255, 133",17,5941
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,5943
Residential Neighborhood,RN,,4.32,,"255, 255, 133",17,6165
Residential Neighborhood,RN,,1.95,,"255, 255, 133",17,6166
Residential Neighborhood,RN,,1.61,,"255, 255, 133",17,6167
Residential Neighborhood,RN,,3.4,,"255, 255, 133",17,5980
Residential Neighborhood,RN,,3.21,,"255, 255, 133",17,5981
Residential Neighborhood,RN,,2.91,,"255, 255, 133",17,6037
Residential Neighborhood,RN,,2.82,,"255, 255, 133",17,6038
Residential Neighborhood,RN,,5.49,,"255, 255, 133",17,5745
Residential Neighborhood,RN,,4.43,,"255, 255, 133",17,5747
Residential Neighborhood,RN,,1.23,,"255, 255, 133",17,6168
Residential Neighborhood,RN,,1.02,,"255, 255, 133",17,6169
Residential Neighborhood,RN,,0.85,,"255, 255, 133",17,6170
Residential Neighborhood,RN,,3.06,,"255, 255, 133",17,5982
Residential Neighborhood,RN,,3.02,,"255, 255, 133",17,5983
Residential Neighborhood,RN,,2.77,,"255, 255, 133",17,6039
Residential Neighborhood,RN,,2.74,,"255, 255, 133",17,6040
Residential Neighborhood,RN,,2.68,,"255, 255, 133",17,6042
Residential Neighborhood,RN,,4.32,,"255, 255, 133",17,5748
Residential Neighborhood,RN,,4.14,,"255, 255, 133",17,5749
Residential Neighborhood,RN,,0.28,,"255, 255, 133",17,6171
Residential Neighborhood,RN,,7.34,,"255, 255, 133",17,6184
Residential Neighborhood,RN,,6.86,,"255, 255, 133",17,6185
Residential Neighborhood,RN,,6.75,,"255, 255, 133",17,6186
Residential Neighborhood,RN,,6.62,,"255, 255, 133",17,6187
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,5984
Residential Neighborhood,RN,,2.33,,"255, 255, 133",17,5985
Residential Neighborhood,RN,,2.54,,"255, 255, 133",17,6043
Residential Neighborhood,RN,,1.98,,"255, 255, 133",17,6047
Residential Neighborhood,RN,,1.36,,"255, 255, 133",17,6048
Residential Neighborhood,RN,,1.28,,"255, 255, 133",17,6049
Residential Neighborhood,RN,,3.86,,"255, 255, 133",17,5750
Residential Neighborhood,RN,,6.43,,"255, 255, 133",17,5753
"Open Space, Parklands and Habitat",OSPH,,52.11,,"96, 160, 0",22,6145
"Open Space, Parklands and Habitat",OSPH,,47.81,,"96, 160, 0",22,6146
"Open Space, Parklands and Habitat",OSPH,,22.66,,"96, 160, 0",22,6148
Residential Neighborhood,RN,,6.25,,"255, 255, 133",17,6188
Residential Neighborhood,RN,,5.02,,"255, 255, 133",17,6233
Residential Neighborhood,RN,,2.16,,"255, 255, 133",17,5986
Residential Neighborhood,RN,,2.14,,"255, 255, 133",17,5987
Residential Neighborhood,RN,,1.06,,"255, 255, 133",17,6050
Residential Neighborhood,RN,,0.84,,"255, 255, 133",17,6051
Residential Neighborhood,RN,,0.66,,"255, 255, 133",17,6052
Residential Neighborhood,RN,,0.6,,"255, 255, 133",17,6053
Residential Neighborhood,RN,,24.04,,"255, 255, 133",17,6054
Residential Neighborhood,RN,,7.99,,"255, 255, 133",17,6056
Residential Neighborhood,RN,,6.84,,"255, 255, 133",17,6057
Residential Neighborhood,RN,,6.5,,"255, 255, 133",17,6059
Residential Neighborhood,RN,,2.63,,"255, 255, 133",17,5756
Residential Neighborhood,RN,,34.86,,"255, 255, 133",17,5759
Residential Neighborhood,RN,,5.97,,"255, 255, 133",17,6189
Residential Neighborhood,RN,,5.69,,"255, 255, 133",17,6190
Residential Neighborhood,RN,,3.78,,"255, 255, 133",17,5995
Residential Neighborhood,RN,,3.72,,"255, 255, 133",17,5996
Residential Neighborhood,RN,,3.71,,"255, 255, 133",17,5997
Residential Neighborhood,RN,,5.81,,"255, 255, 133",17,6060
Residential Neighborhood,RN,,2.46,,"255, 255, 133",17,6078
Residential Neighborhood,RN,,0.7,,"255, 255, 133",17,6080
"Open Space, Parklands and Habitat",OSPH,,26.87,,"96, 160, 0",22,6082
